COLLECTION_NAME,YEAR_MONTH,SALE_COUNT,PRICE_USD,PRICE_RANGE
"Cryptoblots by Daïm Aggott-Hönsch",2021-8,807,5035.0619742939725,32887.172538174695
"Cryptoblots by Daïm Aggott-Hönsch",2021-9,25,7314.715605516115,6467.763352436606
"Cyber Cities by pxlq",2021-2,341,402.10958366135554,3078.183937897715
"Cyber Cities by pxlq",2021-3,11,740.0646263024929,1296.9433736792962
"Cyber Cities by pxlq",2021-4,8,826.3449574719277,1682.8218318303857
"Cyber Cities by pxlq",2021-5,10,881.3167693189247,1157.9100826977296
"Cyber Cities by pxlq",2021-6,2,596.3196264204807,203.6843471590385
"Cyber Cities by pxlq",2021-7,48,1600.6513532546367,2980.5605439980027
"Cyber Cities by pxlq",2021-8,49,9803.045097345434,16245.205298092706
"Dear Hash, by MODNAR WOLF",2021-4,51,238.34522422260673,314.00482154042163
"Dear Hash, by MODNAR WOLF",2021-5,3,248.49988173441474,5.4627144231545515
"Dear Hash, by MODNAR WOLF",2021-6,18,190.0054526849574,201.68105835513768
"Dear Hash, by MODNAR WOLF",2021-7,387,205.00806336162043,1104.1216421099414
"Dear Hash, by MODNAR WOLF",2021-8,145,3532.9360194776027,16003.004065344912
"Dear Hash, by MODNAR WOLF",2021-9,4,5572.992658337728,3229.5541538709576
"Divisions by Michael Connolly",2021-7,942,727.3236217175642,24440.534592918644
"Divisions by Michael Connolly",2021-8,242,11809.77822281845,167500.87937656554
"Divisions by Michael Connolly",2021-9,4,15228.548009127408,5919.751772591333
"Dot Grid by Collin Kasbergen",2021-8,2,305.49213925549543,0
"Dot Matrix Gradient Study by Jake Rockland",2021-8,1527,7071.000312806937,31758.147791780226
"Dot Matrix Gradient Study by Jake Rockland",2021-9,18,4824.552281613469,7744.4072584807045
"Dreams by Joshua Bagley",2021-6,1127,490.5514473220423,6558.607799800174
"Dreams by Joshua Bagley",2021-7,292,2785.369719707804,34449.37324583484
"Dreams by Joshua Bagley",2021-8,247,17007.549977016814,93187.92775065733
"Dreams by Joshua Bagley",2021-9,12,33559.93400233458,30422.747830786422
"Dynamic Slices by pxlq",2020-12,592,37.34227852375765,865.9447600174641
"Dynamic Slices by pxlq",2021-1,97,343.7194261538989,7713.558904054535
"Dynamic Slices by pxlq",2021-2,132,1408.4606277415717,7097.534670922737
"Dynamic Slices by pxlq",2021-3,13,1632.1304972704681,3006.6846163417695
"Dynamic Slices by pxlq",2021-4,9,1950.4795278476886,2250.401154293693
"Dynamic Slices by pxlq",2021-5,14,1399.3160747832378,1801.2638355525735
"Dynamic Slices by pxlq",2021-6,31,1649.7019425456851,5169.862036362506
"Dynamic Slices by pxlq",2021-7,153,6131.986996538275,33550.94244829506
"Dynamic Slices by pxlq",2021-8,133,18698.618141196614,64535.79812894551
"Dynamic Slices by pxlq",2021-9,5,26410.946119834523,6135.704462812944
"Eccentrics by Radix",2021-6,576,739.4021809136281,11060.772655703768
"Eccentrics by Radix",2021-7,210,2980.514836524863,27579.733495280132
"Eccentrics by Radix",2021-8,97,13097.855328072403,43384.52794752753
"Eccentrics by Radix",2021-9,4,13930.084960933862,4237.841548384922
"Ecumenopolis by Joshua Bagley",2021-7,2197,2743.860978443835,34579.049157964146
"Ecumenopolis by Joshua Bagley",2021-8,817,32803.98579769274,160027.98128458223
"Ecumenopolis by Joshua Bagley",2021-9,17,63787.825440589884,24133.050628113582
"Elementals by Michael Connolly",2021-4,693,492.66829349627744,4729.1198099720905
"Elementals by Michael Connolly",2021-5,59,455.46530014849026,1485.2062405693136
"Elementals by Michael Connolly",2021-6,98,520.8648286882503,1705.1105123462264
"Elementals by Michael Connolly",2021-7,200,2480.238062405336,10672.173532472798
"Elementals by Michael Connolly",2021-8,158,15243.644361098743,58243.003000412355
"Elementals by Michael Connolly",2021-9,8,23797.283993584286,9531.84440350638
"Elevated Deconstructions by luxpris",2020-12,208,61.071031100650075,58.24771283281847
"Elevated Deconstructions by luxpris",2021-1,42,206.0562842405107,419.206771460406
"Elevated Deconstructions by luxpris",2021-2,51,1765.831408739863,4638.414316240041
"Elevated Deconstructions by luxpris",2021-3,10,2015.0083716271904,1586.5775100840287
"Elevated Deconstructions by luxpris",2021-4,3,1452.9431147699715,348.450011565317
"Elevated Deconstructions by luxpris",2021-5,11,3246.8526704188434,4492.746854447892
"Elevated Deconstructions by luxpris",2021-6,40,6774.981609783693,13553.14743685093
"Elevated Deconstructions by luxpris",2021-7,31,33329.06040053796,57838.180517268505
"Elevated Deconstructions by luxpris",2021-8,28,201962.3479452468,431454.9250049897
"Elevated Deconstructions by luxpris",2021-9,1,684893.0953975619,0
"Empyrean by Generative Artworks",2021-3,650,106.73808109477845,924.5946074716711
"Empyrean by Generative Artworks",2021-4,364,139.87179228521669,626.9963669739006
"Empyrean by Generative Artworks",2021-5,5,263.4496147849163,232.81999355948238
"Empyrean by Generative Artworks",2021-6,44,256.4359635291345,710.888948353276
"Empyrean by Generative Artworks",2021-7,65,542.0630246304498,5296.524099988863
"Empyrean by Generative Artworks",2021-8,85,3032.042117380362,8497.717045868554
"Empyrean by Generative Artworks",2021-9,2,4818.315657497276,2489.415160459414
"Enchiridion by Generative Artworks",2021-6,4,169.00024804543315,0
"Enchiridion by Generative Artworks",2021-7,2620,223.02213090240053,4322.280159905242
