COLLECTION_NAME,ARTIST,ASPECT_RATIO,CURATION_STATUS,IS_DYNAMIC,SCRIPT_TYPE,SERIES,USE_HASH,COUNT_TOKEN,DAYS_SINCE_MINT,FEATURE_NUMBER,TRAITS_NUMBER,MINT_CURRENCY,MINT_DURATION,AUGUST_SALE_COUNT,AUGUST_SALE_PRICE
"Apparitions by Aaron Penne","Aaron Penne","1","curated",true,"p5js","2",true,1500,168,14,30,ETH,3,440,11784.549210653995
"Archetype by Kjetil Golid","Kjetil Golid","1","curated",true,"p5js","2",true,600,186,6,14,ETH,2,164,116117.27138218416
"Asterisms by Falko","Falko","1/1","factory",true,"p5js","N/A",true,102,95,11,24,ETH,74,40,11061.952977737657
"Aurora IV by ge1doot","ge1doot","1","playground",true,"js","N/A",true,128,129,4,10,ETH,8,31,14057.034662689559
"Beatboxes by Zeblocks","Zeblocks","1.77","factory",true,"a-frame","N/A",true,1,14,13,27,ETH,11,1373,17081.50156673192
"Beatboxes by Zeblocks","Zeblocks","1.77","playground",true,"a-frame","N/A",true,853,4,13,27,ETH,11,1373,17081.50156673192
"Trossets by Anna Carreras","Anna Carreras","1.7","factory",true,"p5js","N/A",true,1,4,8,18,ETH,7,1,0.3244122686237856
"Trossets by Anna Carreras","Anna Carreras","1.7","curated",true,"p5js","4",true,958,-2,8,18,ETH,7,1,0.3244122686237856
"Unigrids by Zeblocks","Zeblocks","1","curated",true,"svg","2",true,421,218,5,12,ETH,2,72,101887.46238291249
"Unknown Signals by k0ch","k0ch","1/1","factory",true,"p5js","N/A",true,5608,9,13,28,ETH,8,9688,2043.7461226253315
"Utopia by ge1doot","ge1doot","1","playground",true,"js","N/A",true,256,206,4,10,ETH,1,11,19237.20922269239
"Variant Plan by Jeff Davis","Jeff Davis","1","factory",true,"p5js","N/A",true,199,252,1,2,ETH,23,10,21922.776464575883
"View Card by Jeff Davis","Jeff Davis","1.77777778","playground",true,"p5js","N/A",false,41,257,1,2,ETH,1,9,45049.46624754932
"Void by Alexis André","Alexis André","1","playground",true,"js","N/A",true,500,144,13,27,ETH,9,98,7322.962554715392
"Warp by espina","espina","0.8333333333333334","factory",true,"p5js","N/A",true,12,-3,1,2,ETH,1,,
"Watercolor Dreams by NumbersInMotion","NumbersInMotion","1","curated",true,"p5js","3",true,600,124,10,22,ETH,4,261,14964.211007048316
